8,2.000000,0.456335,0.113800,0.247465,0.226797,0.189732,0.058123,0.070891,0.022775,0.061975,0.059663,0.023038,0.015664,0.008662,0.018684,0.016347,0.018083,0.018838,0.017583,0.016038,0.023921,0.007229,0.012609
8,2.000000,0.571848,0.221600,0.387622,0.277043,0.135648,0.130956,0.081937,0.044987,0.056047,0.048194,0.057809,0.033102,0.035986,0.033610,0.013700,0.022562,0.009081,0.008928,0.008334,0.017018,0.016221,0.014792
8,2.000000,0.692719,0.245785,0.284146,0.245461,0.070121,0.039977,0.050704,0.056560,0.057784,0.029580,0.027703,0.008484,0.021453,0.018245,0.006413,0.012609,0.007569,0.023282,0.016827,0.009445,0.007776,0.008405
4,2.000000,0.958702,0.417191,0.076545,0.337308,0.318328,0.103522,0.073434,0.010819,0.058170,0.025898,0.044034,0.024525,0.015344,0.013484,0.032866,0.022129,0.030861,0.013043,0.006722,0.013885,0.012964,0.012763
5,2.000000,0.682977,0.269792,0.258439,0.088519,0.302456,0.308892,0.096956,0.047676,0.033343,0.038005,0.054736,0.045879,0.039798,0.015614,0.012630,0.013091,0.016180,0.012515,0.017771,0.019459,0.025052,0.007706
2,2.000000,0.468844,0.348039,0.259220,0.157137,0.086346,0.073320,0.022772,0.031552,0.008287,0.031737,0.022473,0.027699,0.008499,0.006724,0.012707,0.015649,0.006805,0.010284,0.009826,0.004736,0.006497,0.002414
0,2.000000,0.226095,0.198751,0.064766,0.036193,0.032898,0.032092,0.023360,0.014229,0.013691,0.014855,0.009401,0.007869,0.014084,0.009411,0.009841,0.007801,0.005605,0.006015,0.003786,0.005572,0.003320,0.004730
8,2.000000,0.340933,0.400226,0.276440,0.296426,0.162577,0.076055,0.137176,0.054701,0.026517,0.046170,0.022240,0.061951,0.036401,0.029866,0.025400,0.029547,0.018430,0.017913,0.008479,0.015525,0.003964,0.016610
6,2.000000,0.786614,0.164683,0.301206,0.324795,0.097244,0.058846,0.056803,0.038339,0.044084,0.031734,0.029565,0.019302,0.045485,0.024005,0.012470,0.014116,0.018590,0.006625,0.022563,0.005210,0.007179,0.010145
6,2.000000,0.833005,0.279062,0.355482,0.350080,0.043138,0.089770,0.021138,0.064033,0.031263,0.019816,0.044979,0.046514,0.043796,0.010059,0.016427,0.020805,0.019374,0.012241,0.008938,0.014065,0.015870,0.015560
