8,2.000000,0.533149,0.134478,0.288980,0.203279,0.146512,0.050729,0.069570,0.019632,0.067358,0.047744,0.017796,0.014017,0.011128,0.024829,0.013665,0.014874,0.019943,0.010060,0.023465
8,2.000000,0.732692,0.245980,0.363779,0.235052,0.093039,0.132726,0.051533,0.041849,0.041254,0.052835,0.052228,0.024694,0.019788,0.021795,0.016956,0.012733,0.009739,0.011707,0.012741
8,2.000000,0.637843,0.195085,0.249084,0.225665,0.100620,0.021807,0.053813,0.036739,0.059220,0.039675,0.024928,0.013348,0.010705,0.018889,0.008871,0.009057,0.010226,0.013061,0.017823
4,2.000000,0.940624,0.388972,0.050195,0.323623,0.308343,0.126201,0.071793,0.019413,0.054363,0.020405,0.044890,0.023543,0.017027,0.012401,0.030873,0.023184,0.032419,0.009126,0.009994
5,2.000000,0.752781,0.331168,0.296887,0.154903,0.302962,0.293549,0.078710,0.039388,0.030830,0.024888,0.054401,0.054121,0.031334,0.012253,0.014994,0.015181,0.013844,0.012971,0.023354
2,2.000000,0.577566,0.319785,0.261314,0.130930,0.052929,0.050027,0.037557,0.015298,0.025826,0.026642,0.034617,0.013318,0.007491,0.010975,0.014071,0.008478,0.008010,0.013218,0.003839
0,2.000000,0.165158,0.152488,0.064127,0.019241,0.027764,0.031185,0.017240,0.013876,0.006203,0.011592,0.009210,0.010279,0.007356,0.009350,0.007317,0.006535,0.004313,0.006991,0.004782
8,2.000000,0.745563,0.260850,0.361799,0.236171,0.097155,0.131585,0.048684,0.043321,0.040850,0.057279,0.051148,0.025948,0.016788,0.021709,0.019137,0.011003,0.010316,0.011185,0.014333
6,2.000000,0.794052,0.161714,0.294249,0.342216,0.099424,0.061129,0.060101,0.035387,0.043564,0.032593,0.030721,0.020876,0.047728,0.027171,0.014864,0.014298,0.019592,0.005593,0.021411
6,2.000000,0.819695,0.258455,0.344012,0.351989,0.049262,0.087270,0.024615,0.062274,0.034273,0.018852,0.044087,0.043752,0.046806,0.006167,0.014916,0.022566,0.016332,0.013632,0.009092
3,2.000000,0.697083,0.263195,0.367735,0.322730,0.121878,0.058123,0.061846,0.052609,0.034351,0.025641,0.030072,0.025742,0.026269,0.025740,0.013318,0.012239,0.008858,0.013762,0.011679
1,2.000000,0.407072,0.116445,0.130725,0.068430,0.087838,0.064397,0.049639,0.017498,0.025109,0.024356,0.018381,0.017643,0.018380,0.008682,0.009900,0.017886,0.012342,0.004650,0.011084
1,2.000000,0.369817,0.196446,0.121986,0.107998,0.051508,0.025702,0.034084,0.010022,0.017983,0.006684,0.039481,0.010967,0.011169,0.011661,0.016195,0.003770,0.005980,0.009028,0.004408
0,2.000000,0.129796,0.150308,0.072857,0.034326,0.027328,0.041680,0.014290,0.016532,0.012410,0.014612,0.013568,0.011239,0.006797,0.009244,0.004577,0.006318,0.004281,0.007662,0.003241
